,sensor_4
435,1413.04
436,1418.05
437,1420.2
438,1413.56
439,1417.22
440,1419.19
441,1415.35
442,1418.61
443,1422.69
444,1416.12
445,1423.55
446,1412.73
447,1421.46
448,1426.94
449,1421.07
450,1416.63
451,1419.41
452,1419.92
453,1418.2
454,1422.82
455,1424.48
456,1420.27
457,1422.54
458,1422.12
459,1419.61
460,1419.23
461,1424.27
462,1425.06
463,1426.7
464,1418.55
465,1427.83
466,1421.8
467,1429.66
468,1424.78
469,1423.67
470,1426.95
471,1422.89
472,1424.36
473,1426.87
474,1429.67
475,1430.04
476,1431.17
477,1429.57
478,1430.84
479,1398.13
480,1398.62
481,1401.1
482,1395.76
483,1394.05
484,1397.98
485,1405.76
486,1401.86
487,1398.3
488,1400.07
489,1400.59
490,1404.93
491,1403.52
492,1396.35
493,1398.77
494,1392.15
495,1395.76
496,1402.3
497,1402.82
498,1394.57
499,1398.83
500,1405.28
501,1395.59
502,1395.73
503,1390.93
504,1401.63
505,1400.85
506,1400.68
507,1396.05
508,1398.1
509,1393.95
510,1400.58
511,1403.93
512,1397.47
513,1396.92
514,1399.12
515,1396.65
516,1401.83
517,1400.8
518,1403.24
519,1394.92
520,1404.49
521,1401.51
522,1395.48
523,1398.33
524,1401.55
525,1395.3
526,1392.94
527,1396.11
528,1402.64
529,1401.05
530,1404.99
531,1399.78
532,1407.04
533,1399.08
534,1403.97
535,1398.55
536,1403.99
537,1397.56
538,1405.66
539,1392.35
540,1403.57
541,1398.98
542,1404.68
543,1400.69
544,1397.9
545,1403.87
546,1400.37
547,1404.2
548,1397.09
549,1401.19
550,1389.86
551,1400.06
552,1405.76
553,1406.98
554,1405.34
555,1405.99
556,1400.53
557,1403.49
558,1405.37
559,1402.65
560,1400.4
561,1398.73
562,1400.62
563,1414.11
564,1401.01
565,1402.17
566,1400.09
567,1404.14
568,1406.26
569,1399.5
570,1400.27
571,1409.21
572,1401.08
573,1406.13
574,1400.62
575,1408.05
576,1403.62
577,1398.72
578,1404.16
579,1405.55
580,1408.84
581,1395.4
582,1403.37
583,1397.73
584,1405.62
585,1410.67
586,1405.94
587,1402.77
588,1403.14
589,1401.73
590,1400.61
591,1408.52
592,1407.81
593,1400.56
594,1407.84
595,1402.28
596,1408.53
597,1398.22
598,1408.79
599,1413.79
600,1406.06
601,1408.04
602,1405.29
603,1405.04
604,1409.96
605,1395.95
606,1409.32
607,1405.91
608,1410.11
609,1406.13
610,1408.51
611,1409.48
612,1406.61
613,1407.5
614,1405.41
615,1409.77
616,1407.3
617,1415.14
618,1414.46
619,1412.02
620,1413.05
621,1402.45
622,1416.18
623,1403.51
624,1413.64
625,1411.55
626,1421.05
627,1414.51
628,1407.58
629,1420.87
630,1411.65
631,1416.95
632,1414.53
633,1413.92
634,1411.91
635,1414.01
636,1421.83
637,1415.2
638,1415.88
639,1416.4
640,1420.33
641,1422.22
642,1416.56
643,1416.31
644,1419.27
645,1415.96
646,1422.59
647,1424.39
648,1428.52
649,1419.33
650,1426.38
651,1417.29
652,1424.79
653,1424.17
654,1438.51
655,1423.5
656,1430.55
657,1428.23
658,1402.85
659,1410.36
660,1398.65
661,1400.32
662,1399.42
663,1407.78
664,1404.44
665,1406.22
666,1403.51
667,1400.12
668,1395.79
669,1403.67
670,1395.23
671,1407.62
672,1401.13
673,1409.84
674,1406.43
675,1403.75
676,1406.34
677,1401.19
678,1398.49
679,1405.05
680,1401.8
681,1400.24
682,1399.14
683,1399.54
684,1402.27
685,1400.85
686,1401.61
687,1403.21
688,1400.49
689,1406.42
690,1405.72
691,1396.73
692,1398.89
693,1406.77
694,1411.83
695,1400.63
696,1406.06
697,1407.38
698,1403.4
699,1401.08
700,1407.47
701,1403.08
702,1403.12
703,1415.57
704,1409.99
705,1405.17
706,1408.42
707,1403.54
708,1407.61
709,1407.67
710,1407.4
711,1405.04
712,1406.46
713,1403.34
714,1404.0
715,1405.24
716,1398.12
717,1404.66
718,1407.15
719,1407.72
720,1410.95
721,1403.8
722,1407.01
723,1402.56
724,1395.74
725,1408.43
726,1409.93
727,1403.68
728,1410.7
729,1408.21
730,1409.32
731,1407.74
732,1400.47
733,1405.44
734,1398.16
735,1408.49
736,1407.47
737,1405.22
738,1408.32
739,1404.73
740,1406.59
741,1403.9
742,1399.07
743,1407.58
744,1406.05
745,1398.74
746,1394.77
747,1408.45
748,1404.18
749,1403.99
750,1398.67
751,1406.69
752,1398.8
753,1406.96
754,1411.12
755,1403.34
756,1405.64
757,1406.26
758,1412.21
759,1400.79
760,1400.74
761,1403.56
762,1406.58
763,1402.75
764,1400.45
765,1412.75
766,1407.61
767,1401.8
768,1405.22
769,1400.11
770,1416.04
771,1404.61
772,1399.39
773,1409.77
774,1409.2
775,1404.31
776,1411.87
777,1405.88
778,1403.36
779,1405.56
780,1411.81
781,1400.87
782,1404.02
783,1405.07
784,1410.29
785,1417.91
786,1403.6
787,1406.21
788,1399.75
789,1409.15
790,1412.36
791,1413.59
792,1406.54
793,1410.65
794,1408.59
795,1403.15
796,1411.62
797,1410.55
798,1408.52
799,1409.14
800,1406.34
801,1411.01
802,1405.43
803,1417.08
804,1411.57
805,1418.28
806,1414.42
807,1407.68
808,1410.11
809,1415.81
810,1410.75
811,1407.58
812,1406.1
813,1414.19
814,1413.68
815,1420.79
816,1417.62
817,1412.93
818,1413.51
819,1419.09
820,1417.32
821,1411.81
822,1413.9
823,1410.18
824,1410.22
825,1416.01
826,1419.62
827,1412.94
828,1416.71
829,1417.89
830,1422.56
831,1423.58
832,1419.52
833,1427.72
834,1424.69
835,1431.78
836,1424.1
837,1425.23
838,1413.99
839,1429.48
840,1426.55
841,1426.27
842,1429.22
843,1427.17
844,1422.74
845,1434.12
846,1432.55
847,1395.26
848,1394.88
849,1396.29
850,1397.94
851,1394.28
852,1390.56
853,1399.1
854,1393.41
855,1394.2
856,1390.3
857,1393.09
858,1394.07
859,1402.31
860,1396.28
861,1394.11
862,1390.29
863,1400.59
864,1391.09
865,1397.43
866,1393.07
867,1397.41
868,1399.59
869,1399.12
870,1400.89
871,1397.33
872,1398.19
873,1394.22
874,1402.43
875,1392.82
876,1397.69
877,1402.33
878,1397.12
879,1402.42
880,1392.22
881,1395.31
882,1394.4
883,1394.71
884,1396.82
885,1396.39
886,1402.27
887,1399.13
888,1394.97
889,1394.26
890,1395.7
891,1399.71
892,1400.55
893,1397.44
894,1395.62
895,1394.48
896,1403.06
897,1393.67
898,1403.88
899,1393.24
900,1399.58
901,1394.57
902,1397.74
903,1394.93
904,1399.9
905,1400.43
906,1396.08
907,1396.92
908,1406.63
909,1392.17
910,1396.45
911,1389.19
912,1402.35
913,1396.82
914,1395.59
915,1390.32
916,1389.87
917,1401.7
918,1399.84
919,1396.49
920,1403.57
921,1395.05
922,1402.8
923,1400.14
924,1407.48
925,1401.35
926,1396.24
927,1400.48
928,1400.08
929,1395.2
930,1396.86
931,1403.16
932,1402.72
933,1399.65
934,1400.56
935,1399.09
936,1398.29
937,1397.86
938,1397.48
939,1407.84
940,1402.46
941,1394.89
942,1403.38
943,1403.69
944,1395.22
945,1391.43
946,1397.44
947,1397.41
948,1393.14
949,1397.75
950,1405.5
951,1399.72
952,1399.66
953,1403.27
954,1406.74
955,1391.38
956,1400.61
957,1399.03
958,1398.63
959,1397.04
960,1399.95
961,1402.61
962,1397.36
963,1406.58
964,1394.96
965,1391.47
966,1405.61
967,1402.45
968,1396.67
969,1401.27
970,1397.74
971,1406.98
972,1410.79
973,1408.51
974,1404.39
975,1397.11
976,1408.21
977,1397.93
978,1399.12
979,1404.86
980,1399.74
981,1402.53
982,1402.29
983,1401.1
984,1399.78
985,1401.56
986,1401.41
987,1399.09
988,1402.08
989,1397.69
990,1398.33
991,1402.0
992,1407.3
993,1400.0
994,1397.13
995,1401.78
996,1410.38
997,1406.3
998,1395.92
999,1406.59
1000,1394.88
1001,1399.99
1002,1401.26
1003,1404.11
1004,1400.2
1005,1410.83
1006,1407.02
1007,1408.28
1008,1401.45
1009,1403.54
1010,1397.82
1011,1405.58
1012,1398.78
1013,1398.88
1014,1406.51
1015,1404.83
1016,1406.09
1017,1405.3
1018,1409.15
1019,1399.72
1020,1405.4
1021,1407.55
1022,1406.02
1023,1404.8
1024,1400.44
1025,1404.91
1026,1401.28
1027,1406.41
1028,1410.72
1029,1414.51
1030,1405.85
1031,1409.3
1032,1403.46
1033,1401.97
1034,1406.65
1035,1411.05
1036,1405.86
1037,1401.97
1038,1408.25
1039,1414.49
1040,1405.27
1041,1421.88
1042,1412.29
1043,1403.3
1044,1409.6
1045,1399.32
1046,1404.94
1047,1407.48
1048,1418.05
1049,1406.81
1050,1414.63
1051,1402.8
1052,1412.15
1053,1418.64
1054,1410.31
1055,1407.83
1056,1414.9
1057,1410.44
1058,1407.63
1059,1411.76
1060,1415.59
1061,1414.35
1062,1419.51
1063,1411.58
1064,1412.19
1065,1410.72
1066,1412.16
1067,1411.56
1068,1413.57
1069,1414.61
1070,1409.75
1071,1420.41
1072,1410.58
1073,1409.96
1074,1416.9
1075,1410.49
1076,1422.13
1077,1418.89
1078,1412.06
1079,1410.89
1080,1414.62
1081,1414.36
1082,1413.45
1083,1416.89
1084,1420.25
1085,1418.73
1086,1420.74
1087,1428.4
1088,1416.36
1089,1418.14
1090,1422.41
1091,1421.8
1092,1422.59
1093,1416.75
1094,1422.62
1095,1423.94
1096,1425.52
1097,1423.26
1098,1419.15
1099,1423.22
1100,1424.36
1101,1428.03
1102,1431.89
1103,1424.27
1104,1427.69
1105,1420.14
1106,1425.28
1107,1421.13
1108,1424.81
1109,1421.15
1110,1425.39
1111,1424.57
1112,1434.4
1113,1430.25
1114,1434.59
1115,1430.74
1116,1412.34
1117,1401.1
1118,1405.86
1119,1401.21
1120,1409.67
1121,1408.46
1122,1403.63
1123,1404.99
1124,1407.48
1125,1414.99
1126,1401.78
1127,1404.65
1128,1409.91
1129,1406.48
1130,1410.62
1131,1411.03
1132,1411.59
1133,1410.2
1134,1408.93
1135,1405.84
1136,1411.2
1137,1412.36
1138,1405.78
1139,1408.88
1140,1404.17
1141,1409.38
1142,1408.41
1143,1407.17
1144,1411.63
1145,1409.32
1146,1402.06
1147,1407.94
1148,1400.61
1149,1412.46
1150,1406.36
1151,1410.89
1152,1409.57
1153,1407.91
1154,1410.96
1155,1414.82
1156,1409.15
1157,1409.75
1158,1403.0
1159,1406.01
1160,1409.32
1161,1403.16
1162,1405.63
1163,1405.29
1164,1412.66
1165,1401.18
1166,1411.46
1167,1407.97
1168,1411.47
1169,1408.17
1170,1410.73
1171,1411.17
1172,1409.82
1173,1414.39
1174,1410.16
1175,1406.9
1176,1413.96
1177,1404.16
1178,1412.65
1179,1407.19
1180,1411.47
1181,1408.8
1182,1412.54
1183,1413.13
1184,1406.96
1185,1409.21
1186,1412.36
1187,1415.8
1188,1410.2
1189,1409.58
1190,1410.5
1191,1412.11
1192,1416.71
1193,1411.31
1194,1414.85
1195,1409.06
1196,1411.1
1197,1410.57
1198,1415.45
1199,1409.65
1200,1405.68
1201,1416.17
1202,1409.65
1203,1404.54
1204,1417.55
1205,1413.78
1206,1406.95
1207,1407.76
1208,1414.44
1209,1409.07
1210,1412.55
1211,1415.55
1212,1408.62
1213,1416.6
1214,1412.9
1215,1406.43
1216,1419.53
1217,1412.98
1218,1414.95
1219,1415.34
1220,1411.0
1221,1405.57
1222,1409.77
1223,1410.71
1224,1411.74
1225,1409.73
1226,1415.82
1227,1415.13
1228,1415.38
1229,1411.76
1230,1408.65
1231,1413.04
1232,1411.06
1233,1420.65
1234,1417.57
1235,1411.38
1236,1411.89
1237,1415.47
1238,1411.83
1239,1412.33
1240,1410.66
1241,1413.47
1242,1413.29
1243,1412.09
1244,1410.4
1245,1421.59
1246,1420.65
1247,1406.78
1248,1415.54
1249,1419.29
1250,1417.4
1251,1413.17
1252,1411.43
1253,1416.62
1254,1418.23
1255,1414.25
1256,1418.38
1257,1422.25
1258,1415.86
1259,1415.58
1260,1415.82
1261,1417.09
1262,1416.96
1263,1418.66
1264,1421.19
1265,1420.07
1266,1423.27
1267,1424.84
1268,1420.74
1269,1419.33
1270,1419.23
1271,1417.31
1272,1419.84
1273,1422.25
1274,1417.03
1275,1423.05
1276,1422.93
1277,1420.87
1278,1423.01
1279,1423.29
1280,1423.5
1281,1422.7
1282,1425.97
1283,1425.2
1284,1426.68
1285,1425.87
1286,1423.31
1287,1432.3
1288,1423.89
1289,1426.34
1290,1427.35
1291,1423.22
1292,1421.52
1293,1424.84
1294,1424.83
1295,1426.72
1296,1430.56
1297,1423.81
1298,1430.47
1299,1432.22
1300,1434.09
1301,1430.37
1302,1423.45
1303,1434.92
1304,1395.48
1305,1395.97
1306,1397.74
1307,1397.85
1308,1402.54
1309,1403.1
1310,1391.19
1311,1401.42
1312,1401.77
1313,1393.25
1314,1393.96
1315,1397.36
1316,1392.15
1317,1390.48
1318,1398.41
1319,1405.02
1320,1397.63
1321,1394.65
1322,1397.51
1323,1395.92
1324,1404.33
1325,1394.58
1326,1398.09
1327,1398.75
1328,1397.07
1329,1401.19
1330,1397.39
1331,1405.38
1332,1396.71
1333,1396.49
1334,1402.76
1335,1397.4
1336,1399.12
1337,1402.93
1338,1409.12
1339,1393.49
1340,1400.55
1341,1393.57
1342,1403.52
1343,1393.32
1344,1406.12
1345,1398.14
1346,1397.5
1347,1398.15
1348,1399.97
1349,1405.02
1350,1401.47
1351,1398.81
1352,1396.88
1353,1400.31
1354,1397.42
1355,1402.13
1356,1395.45
1357,1400.98
1358,1399.74
1359,1395.08
1360,1398.43
1361,1400.97
1362,1397.92
1363,1396.21
1364,1402.82
1365,1390.39
1366,1400.55
1367,1399.36
1368,1396.6
1369,1399.23
1370,1402.68
1371,1395.57
1372,1403.5
1373,1399.04
1374,1398.9
1375,1406.47
1376,1401.72
1377,1407.77
1378,1402.11
1379,1407.16
1380,1400.6
1381,1399.64
1382,1404.99
1383,1402.29
1384,1408.11
1385,1398.88
1386,1406.01
1387,1400.85
1388,1402.17
1389,1397.76
1390,1404.01
1391,1402.65
1392,1397.17
1393,1402.41
1394,1396.28
1395,1397.32
1396,1402.29
1397,1401.99
1398,1400.37
1399,1392.46
1400,1401.32
1401,1400.02
1402,1402.16
1403,1402.89
1404,1400.18
1405,1395.88
1406,1405.56
1407,1394.15
1408,1401.92
1409,1409.0
1410,1402.69
1411,1401.06
1412,1395.74
1413,1414.46
1414,1402.57
1415,1399.47
1416,1402.84
1417,1405.78
1418,1405.25
1419,1400.08
1420,1396.29
1421,1396.89
1422,1400.87
1423,1397.46
1424,1408.25
1425,1403.24
1426,1400.06
1427,1408.2
1428,1402.5
1429,1397.52
1430,1402.39
1431,1396.92
1432,1400.77
1433,1406.97
1434,1403.05
1435,1408.8
1436,1398.76
1437,1406.99
1438,1405.56
1439,1405.32
1440,1399.57
1441,1410.62
1442,1407.34
1443,1397.47
1444,1405.95
1445,1408.17
1446,1411.66
1447,1401.53
1448,1398.66
1449,1404.55
1450,1408.84
1451,1405.2
1452,1406.22
1453,1408.45
1454,1399.54
1455,1397.99
1456,1402.57
1457,1415.0
1458,1405.93
1459,1401.34
1460,1404.74
1461,1403.17
1462,1405.59
1463,1408.8
1464,1407.45
1465,1416.62
1466,1410.41
1467,1413.34
1468,1408.63
1469,1408.71
1470,1401.69
1471,1406.7
1472,1405.6
1473,1410.37
1474,1405.96
1475,1406.01
1476,1414.03
1477,1397.74
1478,1412.11
1479,1415.24
1480,1410.93
1481,1411.27
1482,1400.94
1483,1405.0
1484,1412.01
1485,1408.38
1486,1410.52
1487,1411.6
1488,1404.86
1489,1403.32
1490,1411.99
1491,1412.29
1492,1412.55
1493,1415.28
1494,1411.57
1495,1410.83
1496,1409.17
1497,1405.47
1498,1412.3
1499,1414.59
1500,1411.61
1501,1407.03
1502,1406.95
1503,1415.32
1504,1410.91
1505,1417.06
1506,1411.74
1507,1417.15
1508,1415.44
1509,1403.14
1510,1413.89
1511,1407.37
1512,1418.83
1513,1418.31
1514,1419.64
1515,1411.21
1516,1414.91
1517,1415.25
1518,1417.42
1519,1418.23
1520,1418.59
1521,1418.41
1522,1417.93
1523,1416.42
1524,1416.66
1525,1416.17
1526,1411.45
1527,1423.7
1528,1404.63
1529,1417.37
1530,1416.6
1531,1423.21
1532,1418.82
1533,1418.61
1534,1415.67
1535,1412.12
1536,1420.78
1537,1424.95
1538,1419.33
1539,1417.66
1540,1414.51
1541,1419.91
1542,1427.17
1543,1432.67
1544,1431.51
1545,1420.94
1546,1417.37
1547,1428.04
1548,1426.25
1549,1433.13
1550,1424.71
1551,1427.14
1552,1422.5
1553,1421.79
1554,1427.83
1555,1436.55
1556,1421.13
1557,1423.7
1558,1422.76
1559,1428.37
1560,1421.92
1561,1425.91
1562,1435.04
1563,1409.75
1564,1410.81
1565,1403.29
1566,1406.11
1567,1409.34
1568,1418.06
1569,1404.52
1570,1407.11
1571,1413.87
1572,1406.7
1573,1419.87
1574,1406.39
1575,1407.31
1576,1413.77
1577,1411.97
1578,1410.4
1579,1403.1
1580,1409.63
1581,1406.79
1582,1405.38
1583,1400.16
1584,1412.59
1585,1415.98
1586,1406.58
1587,1410.56
1588,1405.69
1589,1413.37
1590,1411.85
1591,1407.7
1592,1400.07
1593,1410.45
1594,1413.85
1595,1416.52
1596,1406.27
1597,1411.73
1598,1414.51
1599,1409.9
1600,1403.91
1601,1409.08
1602,1409.73
1603,1415.03
1604,1413.96
1605,1404.92
1606,1412.23
1607,1406.87
1608,1407.98
1609,1409.66
1610,1410.66
1611,1408.45
1612,1418.47
1613,1408.48
1614,1411.15
1615,1408.73
1616,1408.64
1617,1409.0
1618,1412.93
1619,1405.68
1620,1415.49
1621,1403.96
1622,1413.38
1623,1410.45
1624,1406.65
1625,1411.87
1626,1403.83
1627,1411.72
1628,1410.23
1629,1416.24
1630,1409.46
1631,1411.5
1632,1409.85
1633,1411.2
1634,1412.92
1635,1412.9
1636,1406.93
1637,1413.75
1638,1411.06
1639,1415.54
1640,1412.77
1641,1408.65
1642,1421.86
1643,1418.07
1644,1406.94
1645,1406.93
1646,1416.91
1647,1419.03
1648,1411.11
1649,1419.41
1650,1413.99
1651,1414.77
1652,1419.66
1653,1418.09
1654,1406.32
1655,1412.99
1656,1413.58
1657,1414.15
1658,1410.75
1659,1414.96
1660,1414.43
1661,1416.42
1662,1418.78
1663,1421.21
1664,1413.48
1665,1411.03
1666,1418.79
1667,1411.94
1668,1412.29
1669,1420.11
1670,1422.19
1671,1412.1
1672,1413.93
1673,1416.05
1674,1415.73
1675,1410.46
1676,1415.05
1677,1415.49
1678,1419.78
1679,1419.89
1680,1411.35
1681,1416.89
1682,1417.09
1683,1417.41
1684,1422.75
1685,1419.95
1686,1419.7
1687,1424.0
1688,1420.01
1689,1416.81
1690,1427.67
1691,1418.54
1692,1414.35
1693,1425.47
1694,1419.07
1695,1416.24
1696,1425.3
1697,1422.09
1698,1418.93
1699,1424.6
1700,1429.13
1701,1424.37
1702,1419.01
1703,1422.62
1704,1427.03
1705,1426.08
1706,1422.82
1707,1427.14
1708,1421.14
1709,1429.5
1710,1421.3
1711,1428.29
1712,1432.31
1713,1396.22
1714,1394.7
1715,1396.79
1716,1406.4
1717,1400.12
1718,1401.32
1719,1400.27
1720,1392.49
1721,1394.58
1722,1391.62
1723,1400.58
1724,1402.16
1725,1399.58
1726,1398.28
1727,1394.71
1728,1400.74
1729,1395.4
1730,1396.41
1731,1398.7
1732,1389.2
1733,1394.42
1734,1399.51
1735,1402.96
1736,1394.39
1737,1397.22
1738,1396.74
1739,1395.38
1740,1396.46
1741,1398.25
1742,1396.4
1743,1393.67
1744,1390.48
1745,1395.64
1746,1405.48
1747,1400.73
1748,1396.31
1749,1397.08
1750,1393.55
1751,1400.47
1752,1393.79
1753,1392.08
1754,1397.76
1755,1395.74
1756,1397.21
1757,1395.2
1758,1403.72
1759,1401.14
1760,1394.15
1761,1393.84
1762,1396.96
1763,1394.64
1764,1390.75
1765,1394.15
1766,1389.74
1767,1400.69
1768,1397.74
1769,1398.72
1770,1402.6
1771,1401.5
1772,1398.98
1773,1389.95
1774,1396.13
1775,1393.77
1776,1398.39
1777,1400.38
1778,1394.61
1779,1403.17
1780,1399.61
1781,1392.73
1782,1398.8
1783,1407.83
1784,1406.79
1785,1399.71
1786,1400.1
1787,1406.51
1788,1400.42
1789,1404.25
1790,1406.3
1791,1392.83
1792,1400.68
1793,1399.24
1794,1402.04
1795,1397.5
1796,1398.43
1797,1400.9
1798,1403.43
1799,1392.08
1800,1398.54
1801,1399.66
1802,1401.57
1803,1405.67
1804,1399.92
1805,1405.21
1806,1401.46
1807,1395.08
1808,1397.68
1809,1404.15
1810,1400.38
1811,1400.32
1812,1394.51
1813,1401.94
1814,1396.58
1815,1403.32
1816,1403.04
1817,1399.4
1818,1401.0
1819,1405.78
1820,1396.02
1821,1406.15
1822,1394.19
1823,1398.69
1824,1403.69
1825,1401.6
1826,1399.35
1827,1400.65
1828,1386.43
1829,1402.37
1830,1412.17
1831,1397.87
1832,1394.99
1833,1398.53
1834,1404.44
1835,1398.36
1836,1396.84
1837,1402.64
1838,1398.03
1839,1403.56
1840,1406.91
1841,1399.03
1842,1399.16
1843,1395.46
1844,1397.84
1845,1406.84
1846,1408.87
1847,1397.92
1848,1405.17
1849,1404.57
1850,1401.97
1851,1405.55
1852,1399.53
1853,1402.76
1854,1403.63
1855,1405.24
1856,1405.62
1857,1399.45
1858,1405.57
1859,1404.5
1860,1400.75
1861,1401.45
1862,1406.44
1863,1407.19
1864,1419.46
1865,1410.85
1866,1405.96
1867,1411.51
1868,1404.54
1869,1401.39
1870,1399.17
1871,1401.96
1872,1407.75
